site,phe,individuals,SNPs,PCs,date_run,subpop,time_run,bonferroni,notes,peak info,qqplot
PKLE,CRAIN.5d,120,8.8M,2,2020-06-13,Midwest,13.40.15,0,,,skip
PKLE,CRAIN.5d,184,10.3M,7,2020-06-13,Gulf,21.42.44,1,nice,,
PKLE,CRAIN.5d,262,10.6M,0,2020-06-14,Atlantic,10.51.59,10,nice,,
PKLE,CRAIN.5d,304,12.1M,2,2020-06-12,Midwest_Gulf,21.40.11,100,nice,"9N, 7N, 8N",
PKLE,CRAIN.5d,382,12.3M,1,2020-06-15,Midwest_Atlantic,03.01.30,100,nice,"9N, 7N, 8N",
PKLE,CRAIN.5d,446,11.5M,2,2020-06-15,Atlantic_Gulf,22.42.26,,,,
PKLE,CRAIN,120,8.8M,2,2020-06-13,Midwest,13.28.53,1,,,skip
PKLE,CRAIN,184,10.3M,14,2020-06-13,Gulf,21.30.06,10,nice,Chr07K,
PKLE,CRAIN,262,10.6M,11,2020-06-14,Atlantic,10.39.10,10,nice,"3N, 7K",
PKLE,CRAIN,304,12.1M,15,2020-06-12,Midwest_Gulf,21.26.13,0,,,skip
PKLE,CRAIN,382,12.3M,15,2020-06-15,Midwest_Atlantic,02.46.52,0,,,skip
PKLE,CRAIN,446,11.5M,12,2020-06-15,Atlantic_Gulf,22.28.26,,,,
PKLE,EM1,122,8.8M,4,2020-06-13,Midwest,15.11.41,,structure,,skip
PKLE,EM1,226,10.3M,14,2020-06-14,Gulf,00.36.17,1,,,skip
PKLE,EM1,264,10.6M,11,2020-06-14,Atlantic,14.30.14,1,,,skip
PKLE,EM1,348,12.1M,14,2020-06-13,Midwest_Gulf,02.59.17,1,,3N,skip
PKLE,EM1,386,12.3M,14,2020-06-15,Midwest_Atlantic,07.49.46,0,nice,8K,
PKLE,EM1,490,11.5M,14,2020-06-16,Atlantic_Gulf,04.02.15,,,,
PKLE,EM50,122,8.8M,4,2020-06-13,Midwest,15.22.52,,structure,,skip
PKLE,EM50,226,10.3M,14,2020-06-14,Gulf,00.49.14,10,messy,,skip
PKLE,EM50,264,10.6M,12,2020-06-14,Atlantic,14.43.18,10,nice,,
PKLE,EM50,348,12.1M,14,2020-06-13,Midwest_Gulf,03.13.31,10,nice,3N 7K,
PKLE,EM50,386,12.3M,14,2020-06-15,Midwest_Atlantic,08.04.18,0,,,skip
PKLE,EM50,490,11.5M,14,2020-06-16,Atlantic_Gulf,04.16.30,,,,
PKLE,FL1,122,8.8M,2,2020-06-13,Midwest,15.34.16,,structure,,skip
